id,name,category_id,sku,price
prod_0029,"Precision Nut 3/4"" Unit",cat_042,SKU-PRE-NUT-34,149.85
prod_0030,Economy Pin LG Pack,cat_137,SKU-ECO-PIN-LG,41.08
prod_0031,"Digital Ring 1/4"" Set",cat_093,SKU-DIG-RIN-14,2666.03
prod_0032,"Industrial Bearing 1/2"" Set",cat_115,SKU-IND-BEA-12,361.62
prod_0033,Heavy-Duty Sensor M12 Kit,cat_097,SKU-HEA-SEN-M12,42.47
prod_0034,Carbon Ring 10mm Set,cat_178,SKU-CAR-RIN-10MM,396.69
prod_0035,Carbon Screw SM System,cat_110,SKU-CAR-SCR-SM,32.36
prod_0036,Digital Valve HP-500,cat_105,SKU-DIG-VAL-HP500,2.87
prod_0037,Industrial Timer M12 Pack,cat_111,SKU-IND-TIM-M12,242.8
prod_0038,Ultra Wire M12 Module,cat_052,SKU-ULT-WIR-M12,43.91
prod_0039,Digital Fuse Assembly,cat_092,SKU-DIG-FUS,2904.63
prod_0040,Premium Valve M8,cat_195,SKU-PRE-VAL-M8,488.19
prod_0041,Economy Screw M16,cat_185,SKU-ECO-SCR-M16,41.14
prod_0042,"Heavy-Duty Screw 1/4""",cat_079,SKU-HEA-SCR-14,453.3
prod_0043,Precision Relay HP-100,cat_036,SKU-PRE-REL-HP100,42.17
prod_0044,Ultra Pump SM Set,cat_065,SKU-ULT-PUM-SM,159.94
prod_0045,Electric Rod M12 Kit,cat_039,SKU-ELE-ROD-M12,20.94
prod_0046,Premium Gear M10,cat_094,SKU-PRE-GEA-M10,33.89
prod_0047,"Professional Rod 2"" Module",cat_109,SKU-PRO-ROD-2,12.19
prod_0048,Professional Screw M16 Assembly,cat_156,SKU-PRO-SCR-M16,36
prod_0049,"Industrial Rod 3/8""",cat_123,SKU-IND-ROD-38,23.17
prod_0050,Standard Fuse 50mm,cat_156,SKU-STA-FUS-50MM,118.6
prod_0051,Digital Motor 50mm,cat_023,SKU-DIG-MOT-50MM,18.89
prod_0052,Ceramic Filter HP-200 Unit,cat_107,SKU-CER-FIL-HP200,135.36
prod_0053,Carbon Hose A Unit,cat_076,SKU-CAR-HOS-A,160.4
prod_0054,Pneumatic Rod XL Unit,cat_135,SKU-PNE-ROD-XL,1350.58
prod_0055,"Industrial Clamp 1/2"" System",cat_045,SKU-IND-CLA-12,6.12
prod_0056,Carbon Ring 100mm,cat_200,SKU-CAR-RIN-100MM,185.49
prod_0057,"Premium Gauge 2"" Pack",cat_070,SKU-PRE-GAU-2,1331.38
prod_0058,Digital Gear M6,cat_031,SKU-DIG-GEA-M6,113.4
prod_0059,Digital Wire Set,cat_059,SKU-DIG-WIR,147.72
prod_0060,Chrome Bearing M20 System,cat_129,SKU-CHR-BEA-M20,18.46
prod_0061,Premium Hose B,cat_042,SKU-PRE-HOS-B,5.41
prod_0062,Ultra Valve LG System,cat_050,SKU-ULT-VAL-LG,498.22
prod_0063,Compact Fuse 25mm Set,cat_102,SKU-COM-FUS-25MM,13.44
prod_0064,Heavy-Duty Screw SM Module,cat_040,SKU-HEA-SCR-SM,46.06
prod_0065,Chrome Fitting SM Assembly,cat_111,SKU-CHR-FIT-SM,14.82
prod_0066,Chrome Bearing M12 Set,cat_054,SKU-CHR-BEA-M12,12.49
prod_0067,Stainless Motor 50mm,cat_072,SKU-STA-MOT-50MM,288.41
prod_0068,Electric Gear A,cat_091,SKU-ELE-GEA-A,267.03
prod_0069,Pneumatic Ring XL,cat_125,SKU-PNE-RIN-XL,17.51
prod_0070,Stainless Washer SM Pack,cat_166,SKU-STA-WAS-SM,426.84
prod_0071,Carbon Switch B Module,cat_051,SKU-CAR-SWI-B,47.75
prod_0072,Chrome Motor 50mm,cat_004,SKU-CHR-MOT-50MM,12.62
prod_0073,"Hydraulic Timer 3/4""",cat_179,SKU-HYD-TIM-34,6.15
prod_0074,"Carbon Timer 1"" Kit",cat_012,SKU-CAR-TIM-1,4.33
prod_0075,Carbon Spring M8 Set,cat_138,SKU-CAR-SPR-M8,336.6
prod_0076,Ultra Pump 10mm Kit,cat_145,SKU-ULT-PUM-10MM,516.91
prod_0077,Analog Screw M12,cat_024,SKU-ANA-SCR-M12,27.96
prod_0078,Ultra Screw D,cat_072,SKU-ULT-SCR-D,48.1
prod_0079,Premium Wire A Module,cat_182,SKU-PRE-WIR-A,42.77
prod_0080,Chrome Relay XL,cat_148,SKU-CHR-REL-XL,48.29
prod_0081,"Digital Wire 1/4"" Module",cat_129,SKU-DIG-WIR-14,330.88
prod_0082,Hydraulic Seal M12,cat_133,SKU-HYD-SEA-M12,6.7
prod_0083,Galvanized Sensor M10 System,cat_083,SKU-GAL-SEN-M10,45.56
prod_0084,Ultra Timer XL System,cat_044,SKU-ULT-TIM-XL,3103.6
prod_0085,Standard Valve B,cat_022,SKU-STA-VAL-B,8.15
prod_0086,Economy Clamp HP-100,cat_092,SKU-ECO-CLA-HP100,39.71
prod_0087,"Titanium Tube 1""",cat_066,SKU-TIT-TUB-1,43.58
prod_0088,Galvanized Filter M6,cat_098,SKU-GAL-FIL-M6,10.72
prod_0089,Pneumatic Bracket XL Kit,cat_178,SKU-PNE-BRA-XL,44.24
prod_0090,Compact Switch M12,cat_008,SKU-COM-SWI-M12,73.44
prod_0091,Industrial Spring D,cat_083,SKU-IND-SPR-D,29.69
prod_0092,"Electric Tube 1/4"" Assembly",cat_123,SKU-ELE-TUB-14,452.86
prod_0093,Digital Spring D Set,cat_158,SKU-DIG-SPR-D,49.28
prod_0094,Standard Sensor HP-100,cat_061,SKU-STA-SEN-HP100,14.84
prod_0095,Professional Sensor LG,cat_155,SKU-PRO-SEN-LG,49.61
prod_0096,Precision Gauge A,cat_193,SKU-PRE-GAU-A,25.03
prod_0097,Pneumatic Hose HP-500,cat_075,SKU-PNE-HOS-HP500,1852.58
prod_0098,Heavy-Duty Cable HP-100,cat_060,SKU-HEA-CAB-HP100,9.15
prod_0099,Professional Nut M12 Module,cat_116,SKU-PRO-NUT-M12,39.92
prod_0100,Stainless Bolt HP-500 Pack,cat_002,SKU-STA-BOL-HP500,0.19
prod_0101,"Electric Sensor 1/2""",cat_094,SKU-PRO-SEN-LG,331.94
prod_0102,Titanium Fuse 100mm,cat_200,SKU-TIT-FUS-100MM,7.72
prod_0103,Ultra Timer HP-100 Set,cat_128,SKU-ULT-TIM-HP100,364.13
prod_0104,Compact Bearing D System,cat_035,SKU-COM-BEA-D,31.53
prod_0105,Titanium Motor M6 Pack,cat_044,SKU-TIT-MOT-M6,43.85
prod_0106,Titanium Cable SM Module,cat_037,SKU-TIT-CAB-SM,410.35
prod_0107,Titanium Nut 25mm Assembly,cat_009,SKU-TIT-NUT-25MM,193.63
prod_0108,"Analog Motor 2"" Pack",cat_019,SKU-ANA-MOT-2,31.73
prod_0109,Carbon Screw A,cat_053,SKU-CAR-SCR-A,4848.71
prod_0110,Standard Rod M20,cat_148,SKU-STA-ROD-M20,210.23
prod_0111,"Ceramic Fuse 1/2""",cat_068,SKU-CER-FUS-12,1.32
prod_0112,Titanium Wire B,cat_092,SKU-TIT-WIR-B,2034.1
prod_0113,"Hydraulic Valve 3/8""",cat_179,SKU-HYD-VAL-38,194.59
prod_0114,"Digital Sensor 3/4""",cat_098,SKU-DIG-SEN-34,8.38
prod_0115,Analog Plate M12,cat_133,SKU-ANA-PLA-M12,1291.41
prod_0116,Titanium Meter LG,cat_095,SKU-TIT-MET-LG,16.34
prod_0117,Stainless Plate 10mm Module,cat_032,SKU-STA-PLA-10MM,243.35
prod_0118,Pneumatic Fitting Unit,cat_149,SKU-PNE-FIT,23.66
prod_0119,Pneumatic Fitting M6 Set,cat_175,SKU-PNE-FIT-M6,366.99
prod_0120,Stainless Screw A Unit,cat_140,SKU-STA-SCR-A,457.83
prod_0121,Pneumatic Tube M12,cat_143,SKU-PNE-TUB-M12,190.82
prod_0122,Carbon Meter M12,cat_194,SKU-CAR-MET-M12,437.49
prod_0123,Industrial Switch SM Module,cat_194,SKU-IND-SWI-SM,20.5
prod_0124,Carbon Ring M6,cat_169,SKU-CAR-RIN-M6,187.6
prod_0125,Pneumatic Gear M8 Unit,cat_030,SKU-PNE-GEA-M8,6.61
prod_0126,Industrial Switch HP-200 System,cat_011,SKU-IND-SWI-HP200,14.23
prod_0127,"Ultra Plate 3/4""",cat_113,SKU-ULT-PLA-34,2282.5
prod_0128,Pneumatic Screw LG Pack,cat_060,SKU-PNE-SCR-LG,4.38
prod_0129,Carbon Rod B Unit,cat_084,SKU-CAR-ROD-B,26.46
prod_0130,"Professional Switch 1""",cat_187,SKU-PRO-SWI-1,330.32
prod_0131,Ultra Wire M12 Set,cat_090,SKU-ULT-WIR-M12,27.82
prod_0132,Precision Filter M12 Pack,cat_033,SKU-PRE-FIL-M12,243.11
prod_0133,Analog Bracket XL,cat_149,SKU-ANA-BRA-XL,15.58
prod_0134,Chrome Gauge HP-500,cat_077,SKU-CHR-GAU-HP500,4854.19
prod_0135,Stainless Valve HP-500 System,cat_023,SKU-STA-VAL-HP500,1.13
prod_0136,Professional Ring M6,cat_003,SKU-PRO-RIN-M6,173.85
prod_0137,Electric Wire SM,cat_182,SKU-ELE-WIR-SM,320.47
prod_0138,"Precision Bearing 3/4""",cat_050,SKU-PRE-BEA-34,431.81
prod_0139,Titanium Fuse HP-200 Module,cat_061,SKU-TIT-FUS-HP200,10.93
prod_0140,Analog Hose M6,cat_171,SKU-ANA-HOS-M6,253.36
prod_0141,Chrome Pin M16 Unit,cat_085,SKU-CHR-PIN-M16,45.42
prod_0142,Heavy-Duty Gear LG Pack,cat_075,SKU-HEA-GEA-LG,240.08
prod_0143,Ultra Ring M10,cat_025,SKU-ULT-RIN-M10,30.91
prod_0144,"Economy Washer 2"" System",cat_118,SKU-ECO-WAS-2,13.82
prod_0145,Chrome Valve SM Module,cat_192,SKU-CHR-VAL-SM,267.6
prod_0146,Economy Motor 100mm Set,cat_075,SKU-ECO-MOT-100MM,6.8
prod_0147,Precision Rod M6,cat_161,SKU-PRE-ROD-M6,263.75
prod_0148,Stainless Rod M20,cat_030,SKU-STA-ROD-M20,190.1
prod_0149,Stainless Meter C,cat_179,SKU-STA-MET-C,42.72
prod_0150,Compact Switch 10mm,cat_104,SKU-COM-SWI-10MM,45.08
prod_0151,Analog Pump D Pack,cat_043,SKU-ANA-PUM-D,14.37
prod_0152,Stainless Clamp 100mm Kit,cat_162,SKU-STA-CLA-100MM,27.46
prod_0153,Analog Gear C Kit,cat_157,SKU-ANA-GEA-C,17.04
prod_0154,Standard Pin A,cat_145,SKU-STA-PIN-A,42.41
prod_0155,"Economy Filter 2""",cat_016,SKU-ECO-FIL-2,40.65
prod_0156,Compact Gear 50mm Kit,cat_058,SKU-COM-GEA-50MM,28.2
prod_0157,Carbon Gauge M10 Set,cat_167,SKU-CAR-GAU-M10,43.43
prod_0158,Carbon Bolt M12,cat_158,SKU-CAR-BOL-M12,421.2
prod_0159,Precision Bolt M16 Set,cat_080,SKU-PRE-BOL-M16,430.98
prod_0160,"Galvanized Motor 3/8"" Assembly",cat_054,SKU-GAL-MOT-38,14.09
prod_0161,Hydraulic Sensor LG System,cat_007,SKU-HYD-SEN-LG,10.49
prod_0162,Standard Plate HP-200,cat_140,SKU-STA-PLA-HP200,38.06
prod_0163,Electric Pump M12,cat_132,SKU-ELE-PUM-M12,26.77
prod_0164,Standard Meter M16,cat_053,SKU-STA-MET-M16,36.49
prod_0165,Chrome Ring Unit,cat_026,SKU-CHR-RIN,31.39
prod_0166,"Digital Fuse 2"" Set",cat_158,SKU-DIG-FUS-2,39.97
prod_0167,Titanium Gear XL,cat_019,SKU-TIT-GEA-XL,2.21
prod_0168,Standard Tube Pack,cat_119,SKU-STA-TUB,45.04
prod_0169,Compact Spring B,cat_022,SKU-COM-SPR-B,19.93
prod_0170,"Chrome Pin 2""",cat_091,SKU-CHR-PIN-2,168.92
prod_0171,Stainless Fitting M20 Set,cat_131,SKU-STA-FIT-M20,3991.59
prod_0172,Analog Valve HP-500,cat_010,SKU-ANA-VAL-HP500,3.48
prod_0173,Industrial Bearing A,cat_027,SKU-IND-BEA-A,483.17
prod_0174,Precision Tube B Unit,cat_097,SKU-PRE-TUB-B,33.34
prod_0175,Heavy-Duty Switch HP-100 Module,cat_003,SKU-HEA-SWI-HP100,34.13
prod_0176,"Hydraulic Bracket 1/2"" System",cat_165,SKU-HYD-BRA-12,36.37
prod_0177,Ceramic Nut 10mm Module,cat_002,SKU-CER-NUT-10MM,208.08
prod_0178,Premium Rod LG,cat_137,SKU-PRE-ROD-LG,40.37
prod_0179,Ultra Seal HP-100,cat_179,SKU-ULT-SEA-HP100,314.28
prod_0180,Carbon Bearing M8 Pack,cat_168,SKU-CAR-BEA-M8,25.13
prod_0181,Heavy-Duty Fitting SM Set,cat_009,SKU-HEA-FIT-SM,108.33
prod_0182,"Titanium Valve 3/4""",cat_030,SKU-TIT-VAL-34,339.6
prod_0183,"Ultra Clamp 2"" Assembly",cat_029,SKU-ULT-CLA-2,30.15
prod_0184,"Hydraulic Gear 1"" Set",cat_043,SKU-HYD-GEA-1,39.56
prod_0185,Heavy-Duty Washer LG Set,cat_093,SKU-HEA-WAS-LG,24.14
prod_0186,Analog Pump C Pack,cat_072,SKU-ANA-PUM-C,139.56
prod_0187,Analog Seal A Assembly,cat_021,SKU-ANA-SEA-A,463.17
prod_0188,Galvanized Screw HP-500,cat_063,SKU-GAL-SCR-HP500,394.72
prod_0189,Stainless Fitting A Assembly,cat_104,SKU-STA-FIT-A,42.89
prod_0190,Pneumatic Hose 50mm System,cat_017,SKU-PNE-HOS-50MM,1857.49
prod_0191,Electric Fuse M12,cat_126,SKU-ELE-FUS-M12,49.38
prod_0192,Industrial Pin,cat_170,SKU-IND-PIN,11.56
prod_0193,"Titanium Relay 1""",cat_020,SKU-TIT-REL-1,70.27
prod_0194,Heavy-Duty Motor SM,cat_177,SKU-HEA-MOT-SM,49.05
prod_0195,Digital Seal 25mm,cat_069,SKU-DIG-SEA-25MM,658.99
prod_0196,Ceramic Seal D Unit,cat_111,SKU-CER-SEA-D,29.11
prod_0197,Standard Nut 100mm Assembly,cat_137,SKU-STA-NUT-100MM,42.9
prod_0198,Electric Bracket M16 System,cat_072,SKU-ELE-BRA-M16,35.22
prod_0199,Galvanized Cable M8,cat_006,SKU-GAL-CAB-M8,12.72
prod_0200,"Premium Motor 1"" Kit",cat_020,SKU-PRE-MOT-1,3.23
prod_0201,"Electric Timer 1/2"" Unit",cat_157,SKU-PRO-BRA-50MM,17.12
prod_0202,Economy Filter C System,cat_145,SKU-ECO-FIL-C,1.73
prod_0203,"Pneumatic Gear 1/2"" Assembly",cat_017,SKU-PNE-GEA-12,35.73
prod_0204,Digital Sensor M6 Unit,cat_103,SKU-DIG-SEN-M6,29.72
prod_0205,"Pneumatic Hose 3/4"" Module",cat_019,SKU-PNE-HOS-34,4227.28
prod_0206,Digital Bracket B,cat_082,SKU-DIG-BRA-B,39
prod_0207,Compact Sensor A,cat_149,SKU-COM-SEN-A,18.32
prod_0208,Standard Cable M16,cat_113,SKU-STA-CAB-M16,78.6
prod_0209,Carbon Spring M20,cat_165,SKU-CAR-SPR-M20,45.33
prod_0210,"Precision Ring 3/4"" Pack",cat_195,SKU-PRE-RIN-34,469.66
prod_0211,Precision Timer,cat_180,SKU-PRE-TIM,31.03
prod_0212,Standard Fitting HP-100 Module,cat_154,SKU-STA-FIT-HP100,141.3
prod_0213,"Digital Motor 1/2""",cat_089,SKU-DIG-MOT-12,20.54
prod_0214,Electric Meter,cat_095,SKU-ELE-MET,28.68
prod_0215,Standard Timer B Assembly,cat_165,SKU-STA-TIM-B,49.74
prod_0216,Compact Relay M8 Assembly,cat_143,SKU-COM-REL-M8,14.18
prod_0217,Electric Valve 50mm Pack,cat_099,SKU-ELE-VAL-50MM,24.73
prod_0218,Premium Bracket B Unit,cat_026,SKU-PRE-BRA-B,32.94
prod_0219,Precision Timer M16,cat_108,SKU-PRE-TIM-M16,31.71
prod_0220,Ceramic Fuse Kit,cat_012,SKU-CER-FUS,261.8
prod_0221,Electric Bearing 25mm Kit,cat_122,SKU-ELE-BEA-25MM,44.47
prod_0222,Analog Pump LG,cat_002,SKU-ANA-PUM-LG,16.88
prod_0223,Standard Clamp SM System,cat_047,SKU-STA-CLA-SM,41.92
prod_0224,Pneumatic Seal XL,cat_113,SKU-PNE-SEA-XL,460.38
prod_0225,Stainless Filter C,cat_099,SKU-STA-FIL-C,39.49
prod_0226,Ceramic Switch D Kit,cat_068,SKU-CER-SWI-D,311.22
prod_0227,Pneumatic Relay 10mm Assembly,cat_169,SKU-PNE-REL-10MM,2.6
prod_0228,Electric Rod 25mm Unit,cat_111,SKU-ELE-ROD-25MM,1477.27
prod_0229,Ceramic Tube 50mm Module,cat_163,SKU-CER-TUB-50MM,34.79
prod_0230,"Analog Cable 1/2""",cat_045,SKU-ANA-CAB-12,3119.2
prod_0231,Galvanized Motor M6 Pack,cat_200,SKU-GAL-MOT-M6,40.92
prod_0232,Premium Timer LG Kit,cat_105,SKU-PRE-TIM-LG,13.41
prod_0233,Electric Timer SM Kit,cat_189,SKU-ELE-TIM-SM,29.38
prod_0234,Ceramic Gear 100mm,cat_067,SKU-CER-GEA-100MM,2012.44
prod_0235,Compact Wire M20 System,cat_170,SKU-COM-WIR-M20,267.54
prod_0236,Pneumatic Gauge SM,cat_008,SKU-PNE-GAU-SM,6.52
prod_0237,Galvanized Motor M12 Kit,cat_068,SKU-GAL-MOT-M12,171.64
prod_0238,Electric Sensor 10mm,cat_133,SKU-ELE-SEN-10MM,473.74
prod_0239,Ultra Bolt M10,cat_012,SKU-ULT-BOL-M10,275.91
prod_0240,Professional Valve A Pack,cat_033,SKU-PRO-VAL-A,48.41
prod_0241,Precision Switch HP-500 Assembly,cat_111,SKU-PRE-SWI-HP500,4322.83
prod_0242,Electric Relay D Unit,cat_167,SKU-ELE-REL-D,474.61
prod_0243,Industrial Filter Pack,cat_002,SKU-IND-FIL,36.55
prod_0244,"Premium Bracket 2"" Pack",cat_122,SKU-PRE-BRA-2,46.77
prod_0245,Industrial Clamp HP-500,cat_191,SKU-IND-CLA-HP500,8.05
prod_0246,"Titanium Gear 2""",cat_040,SKU-TIT-GEA-2,45.5
prod_0247,Professional Washer 25mm Unit,cat_178,SKU-PRO-WAS-25MM,1.6
prod_0248,Industrial Screw LG,cat_025,SKU-IND-SCR-LG,341.97
prod_0249,Electric Washer B Pack,cat_139,SKU-ELE-WAS-B,30.02
prod_0250,Stainless Screw LG,cat_188,SKU-STA-SCR-LG,10.67
prod_0251,Economy Gauge M20,cat_132,SKU-ECO-GAU-M20,13.64
prod_0252,Electric Spring HP-500,cat_087,SKU-ELE-SPR-HP500,294.06
prod_0253,Chrome Clamp M8,cat_112,SKU-CHR-CLA-M8,2744.68
prod_0254,"Pneumatic Washer 1""",cat_166,SKU-PNE-WAS-1,16.57
prod_0255,Galvanized Plate HP-100,cat_067,SKU-GAL-PLA-HP100,41.57
prod_0256,"Premium Hose 3/8""",cat_041,SKU-PRE-HOS-38,16.36
prod_0257,Precision Switch 50mm Assembly,cat_178,SKU-PRE-SWI-50MM,17.29
prod_0258,Heavy-Duty Bearing A,cat_090,SKU-HEA-BEA-A,23.58
prod_0259,Hydraulic Valve M12,cat_018,SKU-HYD-VAL-M12,44.78
prod_0260,Titanium Relay XL Module,cat_163,SKU-TIT-REL-XL,63.5
prod_0261,Precision Meter M8 System,cat_021,SKU-PRE-MET-M8,202.99
prod_0262,Industrial Gear SM,cat_135,SKU-IND-GEA-SM,370.68
prod_0263,Carbon Wire B,cat_165,SKU-CAR-WIR-B,24.5
prod_0264,Industrial Motor HP-500 System,cat_200,SKU-IND-MOT-HP500,35.39
prod_0265,Standard Filter C,cat_035,SKU-STA-FIL-C,126.67
prod_0266,Hydraulic Tube 25mm,cat_188,SKU-HYD-TUB-25MM,42.8
prod_0267,Carbon Relay M20 Kit,cat_029,SKU-CAR-REL-M20,22.61
prod_0268,"Ceramic Plate 3/4""",cat_185,SKU-CER-PLA-34,24.98
prod_0269,"Economy Screw 3/8"" Pack",cat_029,SKU-ECO-SCR-38,0.34
prod_0270,"Chrome Pin 1/2""",cat_083,SKU-CHR-PIN-12,70.68
prod_0271,"Industrial Gauge 2""",cat_200,SKU-IND-GAU-2,498.46
prod_0272,Heavy-Duty Pump 25mm Assembly,cat_081,SKU-HEA-PUM-25MM,42.97
prod_0273,Compact Bearing D,cat_044,SKU-COM-BEA-D,32.91
prod_0274,Industrial Cable M10,cat_119,SKU-IND-CAB-M10,7.79
prod_0275,Precision Spring M10 Set,cat_094,SKU-PRE-SPR-M10,3400.68
prod_0276,Carbon Wire HP-100 Unit,cat_038,SKU-CAR-WIR-HP100,2000.63
prod_0277,"Ceramic Relay 2"" Unit",cat_031,SKU-CER-REL-2,369.94
prod_0278,Titanium Rod 25mm,cat_154,SKU-TIT-ROD-25MM,493.94
prod_0279,Analog Meter C Module,cat_095,SKU-ANA-MET-C,22.53
prod_0280,Chrome Bearing XL System,cat_001,SKU-CHR-BEA-XL,1173.26
prod_0281,Professional Sensor HP-500,cat_120,SKU-PRO-SEN-HP500,40.88
prod_0282,Heavy-Duty Screw System,cat_160,SKU-HEA-SCR,391.61
prod_0283,Premium Switch M12,cat_092,SKU-PRE-SWI-M12,305.22
prod_0284,Analog Gauge M8,cat_022,SKU-ANA-GAU-M8,2589.92
prod_0285,Digital Bearing LG System,cat_192,SKU-DIG-BEA-LG,44.39
prod_0286,Heavy-Duty Fitting B Pack,cat_101,SKU-HEA-FIT-B,8.69
prod_0287,Digital Tube M10 Set,cat_070,SKU-DIG-TUB-M10,43.31
prod_0288,Chrome Sensor M6 Unit,cat_046,SKU-CHR-SEN-M6,1.86
prod_0289,Economy Spring B,cat_189,SKU-ECO-SPR-B,35.8
prod_0290,Digital Filter A System,cat_200,SKU-DIG-FIL-A,30.27
prod_0291,"Precision Valve 1/4"" Unit",cat_032,SKU-PRE-VAL-14,18.89
prod_0292,"Premium Pin 3/4""",cat_016,SKU-PRE-PIN-34,1177.9
prod_0293,"Titanium Rod 1/2"" Pack",cat_139,SKU-TIT-ROD-12,30.85
prod_0294,"Hydraulic Spring 2"" Unit",cat_160,SKU-HYD-SPR-2,33.32
prod_0295,"Digital Ring 1/2"" Unit",cat_137,SKU-DIG-RIN-12,43.9
prod_0296,Chrome Filter C Set,cat_181,SKU-CHR-FIL-C,11.41
prod_0297,Professional Tube Kit,cat_123,SKU-PRO-TUB,32.81
prod_0298,"Stainless Seal 2""",cat_124,SKU-STA-SEA-2,167.36
prod_0299,Compact Fitting HP-200,cat_200,SKU-COM-FIT-HP200,28.09
prod_0300,Industrial Fuse B,cat_193,SKU-IND-FUS-B,4952.38
prod_0301,Analog Spring M8,cat_057,SKU-ECO-FIL-C,5.8
prod_0302,Industrial Tube 25mm,cat_156,SKU-IND-TUB-25MM,499.69
prod_0303,Galvanized Clamp M10 Kit,cat_120,SKU-GAL-CLA-M10,452.33
prod_0304,Precision Bracket C Module,cat_193,SKU-PRE-BRA-C,150.96
prod_0305,"Ceramic Sensor 3/4"" Unit",cat_135,SKU-CER-SEN-34,6.15
prod_0306,Analog Meter M10 Pack,cat_050,SKU-ANA-MET-M10,4.69
prod_0307,Ultra Gauge 10mm Pack,cat_053,SKU-ULT-GAU-10MM,9.15
prod_0308,Compact Gear M16 Pack,cat_084,SKU-COM-GEA-M16,490.28
prod_0309,Pneumatic Meter LG System,cat_062,SKU-PNE-MET-LG,21.34
prod_0310,Electric Cable D Module,cat_060,SKU-ELE-CAB-D,321.13
prod_0311,"Titanium Pump 3/4""",cat_125,SKU-TIT-PUM-34,38.26
prod_0312,Precision Filter LG,cat_191,SKU-PRE-FIL-LG,473.18
prod_0313,Ceramic Sensor A Unit,cat_084,SKU-CER-SEN-A,32.29
prod_0314,Standard Washer M16 Set,cat_180,SKU-STA-WAS-M16,311.59
prod_0315,Stainless Rod M20,cat_020,SKU-STA-ROD-M20,6.63
prod_0316,"Analog Plate 1/2"" Assembly",cat_040,SKU-ANA-PLA-12,3678.95
prod_0317,Professional Switch XL,cat_077,SKU-PRO-SWI-XL,75.09
prod_0318,Industrial Hose D Kit,cat_093,SKU-IND-HOS-D,213.77
prod_0319,Precision Fuse HP-100,cat_071,SKU-PRE-FUS-HP100,301.18
prod_0320,Ceramic Bolt C Set,cat_169,SKU-CER-BOL-C,41.38
prod_0321,Digital Seal M16 Set,cat_054,SKU-DIG-SEA-M16,35.78
prod_0322,"Pneumatic Ring 2"" Kit",cat_057,SKU-PNE-RIN-2,41.01
prod_0323,Compact Fitting 100mm,cat_096,SKU-COM-FIT-100MM,10.08
prod_0324,Digital Ring HP-200,cat_128,SKU-DIG-RIN-HP200,28.22
prod_0325,Pneumatic Relay 50mm,cat_126,SKU-PNE-REL-50MM,19.41
prod_0326,Digital Relay M12,cat_121,SKU-DIG-REL-M12,13.07
prod_0327,"Hydraulic Pump 1/2"" Assembly",cat_191,SKU-HYD-PUM-12,65.54
prod_0328,Standard Timer M12,cat_185,SKU-STA-TIM-M12,42.3
prod_0329,Standard Hose 10mm Module,cat_012,SKU-STA-HOS-10MM,23.06
prod_0330,Precision Seal SM Unit,cat_093,SKU-PRE-SEA-SM,23.6
prod_0331,Pneumatic Screw SM Pack,cat_048,SKU-PNE-SCR-SM,21.27
